"ID","scenario","region","soiltype","initDR","year","crop","gp","oc","yield","calories","calories_diff","land_use","land_use_diff","ww_yield","ww_pc","cyl","output","fuel_cost","labour_cost","operations_cost","fertiliser_cost","seed_cost","herbicide_cost","sundry_cost","variables_cost","other_cost","c_fert_prod","c_fert_appl","c_pesticide","c_stock_change","c_field_energy_use","c_total","c_emiss_diff"
"BAU_c_m_HD-HR_3","BAU","central","medium","HD-HR",3,"wosr",358.55,0,2.86,1412.84,0,0.707794230061437,0,0,0,0,1181.1,195,103,298,241.8,23.49,67.26,192,524.55,457.29,1161.714286,829.348723,41,0,46.25251689,2078.315526,0
"BAU_c_m_HD-HR_4","BAU","central","medium","HD-HR",4,"winterwheat",662.111246245271,0,6.95153772695892,2321.81360080428,0,0.431085476592896,0,6.95153772695892,0,180.394189189189,1491.65567561691,112.873637933897,57.6245459779656,170.498183911863,233.96,72,171.09,182,659.05,487.96,1345.142857,982.23697,166.0008,0,41.56689883,2534.947526,0
"BAU_c_m_HD-HR_5","BAU","central","medium","HD-HR",5,"winterwheat",554.026044978332,0,6.4531549437889,2155.35375122549,0,0.464070880330314,0,6.4531549437889,0,53.9905405405405,1400.69962815005,123.717687378788,63.9058957929295,187.623583171718,233.96,72,171.09,182,659.05,487.96,1345.142857,982.23697,166.0008,0,73.4481337,2566.828761,0
"BAU_c_m_HD-HR_6","BAU","central","medium","HD-HR",6,"wosr",358.55,0,2.86,1412.84,0,0.707794230061437,0,0,0,0,1181.1,195,103,298,241.8,23.49,67.26,192,524.55,457.29,1161.714286,829.348723,41,0,46.25251689,2078.315526,0
"BAU_c_l_HD-HR_1","BAU","central","light","HD-HR",1,"winterwheat",575.5,0,6.24,2084.16,0,0.479964235132736,0,6.24,0,102.2,1361.8,99.75,51.5,151.25,209.96,72,171.09,182,635.05,463.96,1161.714286,1136.910397,166.0008,0,39.66685587,2504.292338,0
"BAU_c_l_HD-HR_2","BAU","central","light","HD-HR",2,"winterwheat",422.583997484231,0,5.4486196172566,1819.83895216371,0,0.550104437336166,0,5.4486196172566,0,122.523108108108,1217.3762689772,105.380037066156,54.362234426809,159.742271492965,209.96,72,171.09,182,635.05,463.96,1161.714286,1136.910397,166.0008,0,58.2568469,2522.882329,0
"BAU_c_l_HD-HR_3","BAU","central","light","HD-HR",3,"wosr",216.4,0,2.37,1170.78,0,0.854131433745025,0,0,0,0,1016.95,181,95,276,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1136.910397,41,0,36.5791303,2376.203813,0
"BAU_c_l_HD-HR_4","BAU","central","light","HD-HR",4,"winterwheat",515.612196450448,0,5.90642691265014,1972.74658882515,0,0.507409338130177,0,5.90642691265014,0,163.076891891892,1300.92291155865,99.0380878344385,51.2226272737645,150.260715108203,209.96,72,171.09,182,635.05,463.96,1161.714286,1136.910397,166.0008,0,39.66685587,2504.292338,0
"BAU_c_l_HD-HR_5","BAU","central","light","HD-HR",5,"winterwheat",427.930602608614,0,5.48289249100747,1831.2860919965,0,0.546214758082517,0,5.48289249100747,0,54.222027027027,1223.62833171994,106.059927141166,54.5878019701615,160.647729111328,209.96,72,171.09,182,635.05,463.96,1161.714286,1136.910397,166.0008,0,58.2568469,2522.882329,0
"BAU_c_l_HD-HR_6","BAU","central","light","HD-HR",6,"wosr",216.4,0,2.37,1170.78,0,0.854131433745025,0,0,0,0,1016.95,181,95,276,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1136.910397,41,0,36.5791303,2376.203813,0
