Field ID,Fertiliser production (kgC02eq/ha),Field N20 from fertiliser (kgC02eq/ha),Pesticide (kgC02eq/ha),C stock changes (kgC02eq/ha),Field energy use (kgC02eq/ha),Total (kgC02eq/ha)
BAU_e_l_LD-LR_6,1161.714286,1136.910397,41,0,36.5791303,2376.203813
CWW_n_h_HD-HR_1,1345.142857,2890.099252,218.9154,0,109.6116674,4563.769177
CWW_n_h_HD-HR_2,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_n_h_HD-HR_3,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_n_h_HD-HR_4,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_n_h_HD-HR_5,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_n_h_HD-HR_6,1345.142857,2890.099252,218.9154,0,62.98523642,4517.142746
CWW_n_h_LD-HR_1,1345.142857,2890.099252,189.3954,0,109.6116674,4534.249177
CWW_n_h_LD-HR_2,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-HR_3,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-HR_4,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-HR_5,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-HR_6,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-LR_1,1345.142857,2890.099252,189.3954,0,109.6116674,4534.249177
CWW_n_h_LD-LR_2,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
CWW_n_h_LD-LR_3,1345.142857,2890.099252,189.3954,0,62.98523642,4487.622746
